Name,City,Specialization,Hospital,description 
Prof. Dr. Syed Shamsuddin,QUETTA,Dermatologist,"National Hospital, Near Quetta Laboratory Prince Road, Quetta",Dermatologist
Dr. Jaffar Ali,QUETTA,Dermatologist,"Quetta Hospital, Quetta City, Quetta",Dermatologist
Asst. Prof. Dr. Syed Bilal Shams,QUETTA,"Dermatologist, Cosmetic Surgeon","Skin Center Dermatologist Dr. Syed Bilal Ahmed Shams Clinic, Quetta City, Quetta","Dermatologist, Cosmetic Surgeon"
Asst. Prof. Dr. Surjeet Kumar,QUETTA,Dermatologist,"Doctors Hospital, Quetta City, Quetta",Dermatologist
Dr. Palwasha Jalil,QUETTA,Dermatologist,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",Dermatologist
Dr. Faiza Gul,QUETTA,Dermatologist,"Heart And General Hospital, Model Town, Quetta",Dermatologist
Dr. Obed Ullah,QUETTA,Dermatologist,"City International Hospital, Zarghon Road, Quetta",Dermatologist
Dr. Saifullah Kakar,QUETTA,Dermatologist,"City International Hospital, Zarghon Road, Quetta",Dermatologist
Dr. Mushtaq Ahmed,QUETTA,"Dermatologist, Dermatologist, Allergy Specialist","Saleem Medical Complex Hospital, Quetta City, Quetta","Dermatologist, Dermatologist, Allergy Specialist"
Dr. Shakil Ashraf,QUETTA,Dermatologist,"Hammad Skin Laser and Hair transplant Clinic, Quetta, Quetta",Dermatologist
Dr. Faisal Baloch,QUETTA,"General Physician, Dermatologist, Aesthetic Physician","International Medical Center, Quetta City, Quetta","General Physician, Dermatologist, Aesthetic Physician"
Asst. Prof. Dr. Seemab Khan,QUETTA,Dermatologist,"Fc Hospital, Cantt, Quetta",Dermatologist
Prof. Dr. Muhammad Saleem Barech,QUETTA,Neurologist,"Akram Hospital, Quetta City, Quetta",Neurologist
Dr. Anjum Farooq,QUETTA,Neurologist,"Mid Town Hospital, purana pashin adda, Quetta",Neurologist
Assoc. Prof. Dr. Zainullah Khan Kakar,QUETTA,"Neuro Psychiatrist, Psychiatrist, Neurologist","Sajid Hospital, Quetta City, Quetta","Neuro Psychiatrist, Psychiatrist, Neurologist"
Asst. Prof. Dr. Muhammad Ilyas,QUETTA,"Neuro Psychiatrist, Psychiatrist, Neurologist","Aria Institute Of Medical And Health Sciences, Quetta City, Quetta","Neuro Psychiatrist, Psychiatrist, Neurologist"
Dr. Ahmed Wali,QUETTA,Neurologist,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",Neurologist
Dr. Ihsan Ul Haq Zarkoon,QUETTA,Neurologist,"City International Hospital, Zarghon Road, Quetta",Neurologist
Prof. Dr. Noor Ahmed Khosa,QUETTA,Neurologist,"Saleem Medical Complex Hospital, Quetta City, Quetta",Neurologist
Dr. Naveed Javed,QUETTA,"Psychiatrist, Neurologist","National Diagnostic Center., Suraj Miani Road, Multan","Psychiatrist, Neurologist"
Dr. Jahanzeb Kakar,QUETTA,"Neuro Surgeon, Neurologist","Akram Hospital, Quetta City, Quetta","Neuro Surgeon, Neurologist"
Asst. Prof. Dr. Alamzeb Khan,QUETTA,"Neuro Surgeon, Neurologist","City International Hospital, Zarghon Road, Quetta","Neuro Surgeon, Neurologist"
Dr. Ainullah,QUETTA,Neurologist,"Rahman Medical Center, Jinnah Road Quetta, Quetta",Neurologist
Dr. Nasrullah Langove,QUETTA,"Neuro Surgeon, Neurologist","Gillani Hopsital, Satellite Town, Quetta","Neuro Surgeon, Neurologist"
Prof. Dr. Aisha Siddiqa,QUETTA,Gynecologist,"Saleem Medical Complex Hospital, Quetta City, Quetta",Gynecologist
Prof. Dr. Uzma Sohail,QUETTA,"Gynecologist, Gynecologist","Akram Hospital, Quetta City, Quetta","Gynecologist, Gynecologist"
Prof. Dr. Rohana Salam,QUETTA,Gynecologist,"City International Hospital, Zarghon Road, Quetta",Gynecologist
Prof. Dr. Najma Ghaffar,QUETTA,"Gynecologist, Radiologist","Dng Hospital, Quetta City, Quetta","Gynecologist, Radiologist"
Dr. Zaib Un Nisa Jogazai,QUETTA,Gynecologist,"Al Shafa Hospital, Quetta City, Quetta",Gynecologist
Dr. Rukhsana,QUETTA,Gynecologist,"City International Hospital, Zarghon Road, Quetta",Gynecologist
Dr. Nabila Naz,QUETTA,Gynecologist,"Rahat Medical Complex, Quetta City, Quetta",Gynecologist
Dr. Rizwana Naz,QUETTA,Gynecologist,"Heart And General Hospital, Model Town, Quetta",Gynecologist
Dr. Kalsoom Noor,QUETTA,Gynecologist,"Yaseen Hospital, Quetta City, Quetta",Gynecologist
Dr. Bareera Sadaf,QUETTA,Gynecologist,"Doctors Hospital, Quetta City, Quetta",Gynecologist
Dr. Salma Khudaidad,QUETTA,Gynecologist,"Saleem Medical Complex Hospital, Quetta City, Quetta",Gynecologist
Dr. Zargai Kakar,QUETTA,Gynecologist,"Gillani Hopsital, Satellite Town, Quetta",Gynecologist
Dr. Naimat Ullah Tareen,QUETTA,"Urologist, Sexologist","City International Hospital, Zarghon Road, Quetta","Urologist, Sexologist"
Dr. Asad Tareen,QUETTA,Urologist,"Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta",Urologist
Asst. Prof. Dr. Hayat Kakar,QUETTA,Urologist,"Rahat Medical Complex, Quetta City, Quetta",Urologist
Asst. Prof. Dr. Shoukat Ali,QUETTA,Urologist,"Yaseen Hospital, Quetta City, Quetta",Urologist
Dr. Ahmed Ullah,QUETTA,Urologist,"National Hospital, Near Quetta Laboratory Prince Road, Quetta",Urologist
Dr. Rashid Ali Baloch,QUETTA,"Endourologist, Urologist","Al-Khair Medical Complex Hospital, Quetta City, Quetta","Endourologist, Urologist"
Dr. Hafeez Ullah,QUETTA,Urologist,"Jilani Hospital, Satellite Town, Quetta",Urologist
Dr. Muhammad Anwar Jan,QUETTA,Urologist,"Al Qadir Hospital, Quetta City, Quetta",Urologist
Assoc. Prof. Dr. Masha Khan,QUETTA,Urologist,"Akram Hospital, Quetta City, Quetta",Urologist
Asst. Prof. Dr. Muhammad Musa Kakar,QUETTA,Urologist,"Rahat Medical Complex, Quetta City, Quetta",Urologist
Dr. Hidayatullah Mandokhail,QUETTA,Urologist,"Jilani Hospital, Satellite Town, Quetta",Urologist
Dr. Jamil Kakar,QUETTA,Urologist,"Heart And General Hospital, Model Town, Quetta",Urologist
Asst. Prof. Dr. M Hussain Baloch,QUETTA,Gastroenterologist,"Gillani Hopsital, Satellite Town, Quetta",Gastroenterologist
Dr. Muhammad Farooq Zarkoon,QUETTA,Gastroenterologist,"City International Hospital, Zarghon Road, Quetta",Gastroenterologist
Dr. Essa Khan Achakzai,QUETTA,Gastroenterologist,"City International Hospital, Zarghon Road, Quetta",Gastroenterologist
Dr. Niaz Muhammad,QUETTA,Gastroenterologist,"Saleem Medical Complex Hospital, Quetta City, Quetta",Gastroenterologist
Dr. Khalid Tareen,QUETTA,Gastroenterologist,"Mid East Hospital, Zarghon Road, Quetta",Gastroenterologist
Dr. Muhammad Naseer,QUETTA,Gastroenterologist,"Akram Hospital, Quetta City, Quetta",Gastroenterologist
Assoc. Prof. Dr. Muhammad Usman Tareen,QUETTA,Gastroenterologist,"Doctors Hospital, Quetta City, Quetta",Gastroenterologist
Dr. Masood Tareen,QUETTA,Gastroenterologist,"Yaseen Hospital, Quetta City, Quetta",Gastroenterologist
Dr. Ameer Bakhsh Langove,QUETTA,Gastroenterologist,"City International Hospital, Zarghon Road, Quetta",Gastroenterologist
Dr. Abdul Latif,QUETTA,Gastroenterologist,"Doctors Hospital, Quetta City, Quetta",Gastroenterologist
Dr. Inayatullah Khan Kakar,QUETTA,"Gastroenterologist, Hepatologist","Yaseen Hospital, Quetta City, Quetta","Gastroenterologist, Hepatologist"
Dr. Inam Ullah Khan,QUETTA,"Gastroenterologist, Hepatologist","Rahat Medical Complex, Quetta City, Quetta","Gastroenterologist, Hepatologist"
Asst. Prof. Dr. Nasir Azim Kakar,QUETTA,"Pulmonologist / Lung Specialist, Internal Medicine Specialist","Doctors Hospital, Quetta City, Quetta","Pulmonologist / Lung Specialist, Internal Medicine Specialist"
Asst. Prof. Dr. Tahir Khan,QUETTA,"Pulmonologist / Lung Specialist, General Physician, Allergy Specialist","Yaseen Hospital, Quetta City, Quetta","Pulmonologist / Lung Specialist, General Physician, Allergy Specialist"
Dr. Ishfaq Ahmed,QUETTA,Pulmonologist / Lung Specialist,"City International Hospital, Zarghon Road, Quetta",Pulmonologist / Lung Specialist
Dr. Sohail Mushtaq,QUETTA,Pulmonologist / Lung Specialist,"Shoaib Medical Store, Baldia Town, Quetta",Pulmonologist / Lung Specialist
Asst. Prof. Dr. Abdul Baqi Achakzai,QUETTA,Pulmonologist / Lung Specialist,"Jilani Hospital, Satellite Town, Quetta",Pulmonologist / Lung Specialist
Asst. Prof. Dr. Syed Aman Ullah Shah,QUETTA,Pulmonologist / Lung Specialist,"Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta",Pulmonologist / Lung Specialist
Dr. Ali Ahmed Reki,QUETTA,Pulmonologist / Lung Specialist,"Saleem Medical Complex Hospital, Quetta City, Quetta",Pulmonologist / Lung Specialist
Dr. Muhammad Yaseen,QUETTA,Pulmonologist / Lung Specialist,"Gillani Hopsital, Satellite Town, Quetta",Pulmonologist / Lung Specialist
Dr. Iftikhar Ali Kakar,QUETTA,Pulmonologist / Lung Specialist,"Fc Hospital, Cantt, Quetta",Pulmonologist / Lung Specialist
Dr. Abdul Haseeb Kakar,QUETTA,Pulmonologist / Lung Specialist,"Al Qadir Hospital, Quetta City, Quetta",Pulmonologist / Lung Specialist
Dr. Maqsood Ahmed,QUETTA,Pulmonologist / Lung Specialist,"Al Shafi Hospital, Quetta City, Quetta",Pulmonologist / Lung Specialist
Dr. Raheemuddin,QUETTA,"Pulmonologist / Lung Specialist, Allergy Specialist","Sangeen Khan Hospital, Killi Shaboo, Quetta","Pulmonologist / Lung Specialist, Allergy Specialist"
Dr. Attiq Ur Rehman,QUETTA,"Orthopedic Surgeon, Spinal Surgeon","City International Hospital, Zarghon Road, Quetta","Orthopedic Surgeon, Spinal Surgeon"
Assoc. Prof. Dr. Lal Muhammad Khan Kakar,QUETTA,"Orthopedic Surgeon, Spinal Surgeon","National Hospital, Near Quetta Laboratory Prince Road, Quetta","Orthopedic Surgeon, Spinal Surgeon"
